a,b,c,co
8,493,535,1
8,21,535,1
434,433,208,1
535,42,276,1
434,208,433,1
433,434,208,1
433,208,434,1
208,434,433,1
208,433,434,1
535,276,156,1
535,276,42,1
535,276,41,1
535,156,276,1
535,156,42,1
12,535,493,1
21,8,535,1
21,12,535,1
21,493,535,1
535,493,21,1
535,493,12,1
535,493,8,1
535,21,493,1
535,21,12,1
535,21,8,1
535,12,493,1
535,12,21,1
535,12,8,1
535,8,493,1
535,8,21,1
535,8,12,1
493,535,21,1
493,535,12,1
493,535,8,1
493,21,535,1
493,12,535,1
493,8,535,1
21,535,493,1
21,535,12,1
21,535,8,1
535,156,41,1
535,42,156,1
41,156,42,1
42,156,41,1
156,41,276,1
156,41,42,1
42,535,276,1
42,535,156,1
42,535,41,1
42,276,535,1
42,276,156,1
42,276,41,1
42,156,535,1
42,156,276,1
42,41,535,1
535,42,41,1
42,41,276,1
42,41,156,1
41,535,276,1
41,535,156,1
41,535,42,1
41,276,535,1
41,276,156,1
41,276,42,1
41,156,535,1
41,156,276,1
156,41,535,1
156,42,41,1
156,42,276,1
156,42,535,1
535,41,276,1
535,41,156,1
535,41,42,1
276,535,156,1
276,535,42,1
276,535,41,1
276,156,535,1
276,156,42,1
276,156,41,1
276,42,535,1
276,42,156,1
276,42,41,1
276,41,535,1
276,41,156,1
276,41,42,1
156,535,276,1
156,535,42,1
156,535,41,1
156,276,535,1
156,276,42,1
156,276,41,1
65,59,2,1
65,2,59,1
55,209,365,1
308,103,414,1
414,308,103,1
414,103,407,1
414,103,308,1
407,414,308,1
407,414,103,1
407,308,414,1
407,103,414,1
308,414,407,1
308,414,103,1
308,407,414,1
103,414,407,1
414,407,103,1
103,414,308,1
103,407,414,1
103,308,414,1
533,532,412,1
533,443,412,1
533,435,412,1
533,412,532,1
533,412,443,1
533,412,435,1
532,533,412,1
414,308,407,1
414,407,308,1
59,373,65,1
167,1,165,1
501,167,1,1
501,165,167,1
501,165,1,1
501,1,167,1
501,1,165,1
167,501,165,1
167,501,1,1
167,165,501,1
167,165,1,1
167,1,501,1
165,501,167,1
1,165,167,1
165,501,1,1
165,167,501,1
165,167,1,1
165,1,501,1
165,1,167,1
1,501,167,1
1,501,165,1
1,167,501,1
1,167,165,1
1,165,501,1
532,443,412,1
532,435,412,1
532,412,533,1
65,504,179,1
493,229,65,1
493,65,229,1
229,493,65,1
229,65,493,1
65,493,229,1
65,229,493,1
504,179,65,1
504,65,179,1
179,504,65,1
179,65,504,1
65,179,504,1
532,412,443,1
535,505,295,1
535,505,50,1
535,295,505,1
535,295,50,1
535,50,505,1
535,50,295,1
505,535,295,1
505,535,50,1
505,295,535,1
505,295,50,1
412,435,443,1
412,435,532,1
412,435,533,1
412,443,435,1
532,412,435,1
443,533,412,1
443,532,412,1
443,435,412,1
443,412,533,1
443,412,532,1
443,412,435,1
435,533,412,1
435,532,412,1
435,443,412,1
435,412,533,1
435,412,532,1
435,412,443,1
412,533,532,1
412,533,443,1
412,533,435,1
412,532,533,1
412,532,443,1
412,532,435,1
412,443,533,1
412,443,532,1
501,167,165,1
8,197,374,1
8,197,506,1
500,374,1,1
2,509,368,1
2,457,368,1
2,368,509,1
2,368,457,1
532,445,432,1
532,432,445,1
445,532,432,1
445,432,532,1
432,532,445,1
432,445,532,1
500,1,374,1
461,57,336,1
374,500,1,1
374,1,500,1
1,500,374,1
1,374,500,1
504,160,19,1
504,19,160,1
160,504,19,1
160,19,504,1
19,504,160,1
19,160,504,1
368,2,457,1
368,2,509,1
368,457,2,1
368,457,509,1
59,373,2,1
59,65,373,1
59,65,2,1
59,2,373,1
59,2,65,1
2,373,65,1
2,373,59,1
2,65,373,1
2,65,59,1
2,59,373,1
2,59,65,1
509,457,368,1
509,368,457,1
509,368,2,1
509,2,368,1
457,509,368,1
457,368,509,1
457,368,2,1
457,2,368,1
368,509,457,1
368,509,2,1
461,336,57,1
336,461,57,1
8,374,197,1
506,8,197,1
294,49,526,1
49,528,526,1
49,528,294,1
49,526,528,1
49,526,294,1
49,294,528,1
49,294,526,1
506,374,8,1
506,197,8,1
506,8,374,1
374,506,8,1
336,57,461,1
374,197,8,1
374,8,506,1
374,8,197,1
197,506,8,1
197,374,8,1
197,8,506,1
197,8,374,1
8,506,374,1
8,506,197,1
8,374,506,1
294,49,528,1
294,526,49,1
294,528,49,1
526,49,294,1
57,461,336,1
57,336,461,1
336,218,64,1
336,218,63,1
336,64,218,1
336,63,218,1
218,336,64,1
218,336,63,1
218,64,336,1
218,63,336,1
64,336,218,1
64,218,336,1
63,336,218,1
63,218,336,1
528,526,49,1
528,294,49,1
528,49,526,1
528,49,294,1
526,528,49,1
526,294,49,1
526,49,528,1
1,61,494,1
1,494,61,1
61,1,494,1
119,161,541,1
417,160,362,1
362,417,160,1
362,160,417,1
160,417,362,1
160,362,417,1
541,161,119,1
541,119,161,1
161,541,119,1
161,119,541,1
119,541,161,1
380,218,197,1
116,227,229,1
380,218,97,1
380,197,218,1
380,197,97,1
380,97,218,1
380,97,197,1
218,380,197,1
218,380,97,1
218,197,380,1
218,197,97,1
218,97,380,1
417,362,160,1
116,229,227,1
61,494,1,1
197,339,65,1
25,81,308,1
339,331,197,1
339,197,331,1
339,197,65,1
339,65,197,1
331,339,197,1
331,197,339,1
331,197,65,1
331,65,197,1
197,339,331,1
197,331,339,1
227,116,229,1
197,331,65,1
197,65,339,1
197,65,331,1
65,339,197,1
65,331,197,1
65,197,339,1
65,197,331,1
229,227,116,1
229,116,227,1
227,229,116,1
218,97,197,1
197,380,218,1
197,380,97,1
509,40,411,1
264,424,541,1
264,424,259,1
264,259,541,1
264,259,424,1
259,541,264,1
259,424,264,1
259,264,541,1
259,264,424,1
509,411,40,1
509,411,23,1
509,40,23,1
197,218,380,1
509,23,411,1
509,23,40,1
411,509,40,1
411,509,23,1
411,40,509,1
411,40,23,1
411,23,509,1
411,23,40,1
40,509,411,1
40,509,23,1
264,541,259,1
264,541,424,1
424,259,264,1
424,264,259,1
197,218,97,1
197,97,380,1
197,97,218,1
97,380,218,1
97,380,197,1
97,218,380,1
97,218,197,1
97,197,380,1
97,197,218,1
541,97,11,1
541,11,97,1
97,541,11,1
97,11,541,1
11,541,97,1
11,97,541,1
541,424,264,1
541,264,424,1
541,264,259,1
541,259,264,1
424,541,264,1
424,264,541,1
25,308,81,1
81,25,308,1
81,308,25,1
29,521,86,1
86,29,511,1
86,29,30,1
30,521,86,1
30,521,29,1
30,511,86,1
30,86,521,1
30,86,511,1
30,86,29,1
30,29,521,1
30,29,86,1
29,521,30,1
126,161,435,1
29,511,86,1
29,86,521,1
29,86,511,1
29,86,30,1
29,30,521,1
29,30,86,1
435,161,126,1
435,126,161,1
161,435,126,1
161,126,435,1
86,29,521,1
86,30,29,1
86,30,511,1
86,30,521,1
225,530,535,1
521,511,86,1
521,86,511,1
521,86,30,1
521,86,29,1
521,30,86,1
521,30,29,1
521,29,86,1
521,29,30,1
511,521,86,1
511,86,521,1
511,86,30,1
511,86,29,1
511,30,86,1
511,29,86,1
86,521,511,1
86,521,30,1
86,521,29,1
86,511,521,1
86,511,30,1
86,511,29,1
126,435,161,1
520,511,65,1
308,25,81,1
44,19,435,1
535,19,435,1
435,535,44,1
435,535,19,1
435,44,535,1
435,44,19,1
435,19,535,1
435,19,44,1
44,535,435,1
44,435,535,1
44,435,19,1
19,535,435,1
520,65,511,1
19,435,535,1
19,435,44,1
19,44,435,1
455,447,197,1
455,197,447,1
447,455,197,1
447,197,455,1
197,455,447,1
197,447,455,1
308,81,25,1
535,44,435,1
535,435,19,1
535,435,44,1
259,380,507,1
511,520,65,1
511,65,520,1
65,520,511,1
65,511,520,1
541,507,380,1
541,507,259,1
541,380,507,1
541,259,507,1
507,541,380,1
507,541,259,1
507,380,541,1
507,380,259,1
507,259,541,1
507,259,380,1
380,541,507,1
380,507,541,1
380,507,259,1
380,259,507,1
259,541,507,1
259,507,541,1
259,507,380,1
40,411,509,1
40,411,23,1
40,23,509,1
130,508,529,1
297,529,411,1
297,529,130,1
297,508,529,1
297,508,130,1
297,411,529,1
297,130,529,1
297,130,508,1
130,529,508,1
130,529,411,1
130,529,297,1
130,508,411,1
207,63,5,1
130,508,297,1
130,411,529,1
130,411,508,1
130,297,529,1
130,297,508,1
537,374,339,1
537,339,374,1
374,537,339,1
374,339,537,1
339,537,374,1
297,529,508,1
411,130,508,1
411,130,529,1
411,297,529,1
529,297,508,1
529,297,411,1
529,297,130,1
529,130,508,1
529,130,411,1
529,130,297,1
508,529,411,1
508,529,297,1
508,529,130,1
508,411,529,1
508,411,130,1
508,297,529,1
508,297,130,1
508,130,529,1
508,130,411,1
508,130,297,1
411,529,508,1
411,529,297,1
411,529,130,1
411,508,529,1
411,508,130,1
339,374,537,1
207,5,63,1
529,411,297,1
81,515,240,1
513,515,240,1
513,240,515,1
513,240,81,1
513,81,240,1
240,515,513,1
240,515,81,1
240,513,515,1
240,513,81,1
240,81,515,1
240,81,513,1
81,513,240,1
63,207,5,1
81,240,515,1
81,240,513,1
69,22,19,1
69,19,22,1
22,69,19,1
22,19,69,1
19,69,22,1
19,22,69,1
494,61,1,1
494,1,61,1
515,81,240,1
515,240,81,1
515,240,513,1
515,513,240,1
63,5,207,1
5,207,63,1
5,63,207,1
308,86,56,1
308,56,86,1
86,308,56,1
86,81,56,1
86,56,308,1
86,56,81,1
81,86,56,1
81,56,86,1
56,308,86,1
56,86,308,1
56,86,81,1
56,81,86,1
511,510,446,1
511,446,510,1
510,511,446,1
510,446,511,1
446,511,510,1
446,510,511,1
529,411,130,1
529,411,508,1
40,23,411,1
339,167,497,1
497,535,167,1
497,339,535,1
497,339,167,1
497,167,535,1
497,167,339,1
339,535,497,1
339,535,167,1
339,497,535,1
339,497,167,1
339,167,535,1
167,535,497,1
295,198,533,1
167,535,339,1
167,497,535,1
167,497,339,1
167,339,535,1
167,339,497,1
533,295,198,1
533,220,198,1
533,198,295,1
533,198,220,1
295,533,198,1
497,535,339,1
535,167,339,1
535,167,497,1
535,339,167,1
23,509,411,1
23,509,40,1
23,411,509,1
23,411,40,1
23,40,509,1
23,40,411,1
282,254,43,1
282,43,254,1
254,282,43,1
254,43,282,1
43,282,254,1
43,254,282,1
494,429,110,1
494,110,429,1
429,494,110,1
429,110,494,1
110,494,429,1
110,429,494,1
535,497,339,1
535,497,167,1
535,339,497,1
295,220,198,1
295,198,220,1
529,508,130,1
102,481,414,1
481,102,414,1
481,102,351,1
414,481,351,1
414,481,102,1
414,351,481,1
414,102,481,1
351,481,414,1
351,481,102,1
351,414,481,1
351,102,481,1
102,481,351,1
220,533,198,1
102,414,481,1
102,351,481,1
274,255,177,1
274,177,255,1
255,274,177,1
255,177,274,1
177,274,255,1
177,255,274,1
529,508,411,1
529,508,297,1
481,351,102,1
481,351,414,1
481,414,102,1
481,414,351,1
220,295,198,1
220,198,533,1
220,198,295,1
198,533,295,1
198,533,220,1
198,295,533,1
198,295,220,1
198,220,533,1
198,220,295,1
493,343,295,1
493,295,343,1
343,493,295,1
343,295,493,1
295,493,343,1
295,343,493,1
231,222,74,1
231,74,222,1
222,231,74,1
222,74,231,1
74,231,222,1
74,222,231,1
505,50,535,1
505,50,295,1
295,535,505,1
512,466,514,1
339,197,356,1
197,392,356,1
197,392,339,1
197,356,392,1
197,356,339,1
197,339,392,1
197,339,356,1
514,512,466,1
514,466,512,1
512,514,466,1
466,514,512,1
339,356,197,1
466,512,514,1
533,435,295,1
533,295,435,1
443,435,295,1
443,295,435,1
435,533,295,1
435,443,295,1
435,295,533,1
435,295,443,1
295,533,435,1
339,197,392,1
339,392,197,1
455,197,394,1
56,354,80,1
144,80,56,1
144,56,354,1
144,56,80,1
80,354,144,1
80,354,56,1
80,144,354,1
80,144,56,1
80,56,354,1
80,56,144,1
56,354,144,1
56,144,354,1
356,197,339,1
56,144,80,1
56,80,354,1
56,80,144,1
392,356,197,1
392,339,197,1
392,197,356,1
392,197,339,1
356,392,197,1
356,339,197,1
356,197,392,1
295,443,435,1
295,435,533,1
295,435,443,1
540,374,23,1
197,218,524,1
197,218,12,1
197,12,524,1
197,12,218,1
12,524,218,1
12,524,197,1
12,218,524,1
12,218,197,1
12,197,524,1
12,197,218,1
540,374,8,1
511,464,18,1
540,23,374,1
540,23,8,1
540,8,374,1
540,8,23,1
374,540,23,1
374,540,8,1
374,23,540,1
374,23,8,1
374,8,540,1
374,8,23,1
197,524,12,1
197,524,218,1
218,12,197,1
218,12,524,1
511,18,464,1
464,511,18,1
464,18,511,1
18,511,464,1
18,464,511,1
540,480,19,1
540,19,480,1
480,540,19,1
480,19,540,1
19,540,480,1
19,480,540,1
524,218,197,1
524,218,12,1
524,197,218,1
524,197,12,1
524,12,218,1
524,12,197,1
218,524,197,1
218,524,12,1
218,197,524,1
218,197,12,1
144,80,354,1
144,354,56,1
144,354,80,1
25,530,480,1
530,25,480,1
530,16,480,1
480,530,63,1
480,530,25,1
480,530,16,1
480,63,530,1
480,25,530,1
480,16,530,1
63,530,480,1
63,480,530,1
25,480,530,1
458,470,151,1
16,530,480,1
16,480,530,1
470,458,382,1
470,458,151,1
470,382,458,1
470,382,151,1
470,382,63,1
470,151,458,1
470,151,382,1
470,63,382,1
530,63,480,1
530,480,16,1
530,480,25,1
530,480,63,1
446,455,197,1
446,394,197,1
446,197,511,1
446,197,455,1
446,197,394,1
394,511,197,1
394,455,197,1
394,446,197,1
394,197,511,1
394,197,455,1
394,197,446,1
197,511,446,1
197,511,394,1
197,455,446,1
197,455,394,1
197,446,511,1
197,446,455,1
197,446,394,1
197,394,511,1
197,394,455,1
197,394,446,1
458,470,382,1
458,382,470,1
354,56,80,1
63,151,382,1
151,382,63,1
151,63,458,1
151,63,382,1
63,470,382,1
63,458,382,1
63,458,151,1
63,382,470,1
63,382,458,1
63,382,151,1
63,151,458,1
436,254,42,1
458,382,151,1
436,42,254,1
254,436,42,1
254,42,436,1
42,436,254,1
42,254,436,1
354,144,80,1
354,144,56,1
354,80,144,1
354,80,56,1
354,56,144,1
151,382,458,1
151,382,470,1
151,458,63,1
151,458,382,1
458,382,63,1
458,151,470,1
458,151,382,1
458,151,63,1
458,63,382,1
458,63,151,1
382,470,458,1
382,470,151,1
382,470,63,1
382,458,470,1
382,458,151,1
382,458,63,1
382,151,470,1
382,151,458,1
382,151,63,1
382,63,470,1
382,63,458,1
382,63,151,1
151,470,458,1
151,470,382,1
151,458,470,1
23,540,374,1
23,540,8,1
23,374,540,1
308,436,254,1
536,254,308,1
436,536,308,1
436,536,254,1
436,308,536,1
436,308,254,1
436,254,536,1
436,254,308,1
308,536,436,1
308,536,254,1
308,436,536,1
308,254,536,1
365,209,193,1
308,254,436,1
254,536,436,1
254,536,308,1
254,436,536,1
254,436,308,1
254,308,536,1
254,308,436,1
365,352,209,1
365,352,193,1
365,352,55,1
536,254,436,1
536,308,254,1
536,308,436,1
536,436,254,1
51,82,434,1
51,82,220,1
306,295,65,1
306,295,63,1
306,65,295,1
306,65,63,1
306,63,295,1
306,63,65,1
295,306,65,1
295,306,63,1
295,65,306,1
295,63,306,1
65,306,295,1
65,306,63,1
65,295,306,1
65,63,306,1
63,306,295,1
63,306,65,1
63,295,306,1
63,65,306,1
536,436,308,1
365,209,352,1
365,209,55,1
51,434,82,1
193,209,365,1
209,193,55,1
209,55,365,1
209,55,352,1
209,55,193,1
193,365,352,1
193,365,209,1
193,365,55,1
193,352,365,1
193,352,209,1
193,352,55,1
193,209,352,1
365,193,352,1
193,209,55,1
193,55,365,1
193,55,352,1
193,55,209,1
55,365,352,1
55,365,209,1
55,365,193,1
55,352,365,1
55,352,209,1
55,352,193,1
209,193,352,1
209,193,365,1
209,352,55,1
209,352,193,1
365,193,209,1
365,193,55,1
365,55,352,1
365,55,209,1
365,55,193,1
352,365,209,1
352,365,193,1
352,365,55,1
352,209,365,1
352,209,193,1
352,209,55,1
352,193,365,1
352,193,209,1
352,193,55,1
352,55,365,1
352,55,209,1
352,55,193,1
209,365,352,1
209,365,193,1
209,365,55,1
209,352,365,1
51,220,82,1
82,51,220,1
23,374,8,1
378,365,339,1
7,15,453,1
382,378,365,1
382,378,339,1
382,365,378,1
382,365,339,1
382,339,378,1
382,339,365,1
378,382,365,1
378,382,339,1
378,365,382,1
378,339,382,1
339,365,382,1
378,339,365,1
365,382,378,1
365,382,339,1
365,378,382,1
365,378,339,1
365,339,382,1
365,339,378,1
339,382,378,1
339,382,365,1
339,378,382,1
7,453,15,1
7,453,511,1
7,511,453,1
15,7,453,1
23,8,540,1
23,8,374,1
8,540,374,1
8,540,23,1
8,374,540,1
8,374,23,1
8,23,540,1
8,23,374,1
511,453,15,1
511,453,7,1
511,15,453,1
511,7,453,1
453,511,15,1
453,511,7,1
453,15,511,1
453,15,7,1
453,7,511,1
453,7,15,1
15,511,453,1
15,453,511,1
15,453,7,1
339,378,365,1
339,365,378,1
82,51,434,1
373,404,19,1
505,373,404,1
505,19,404,1
404,505,373,1
404,505,19,1
404,373,505,1
404,373,19,1
404,19,505,1
404,19,373,1
373,505,404,1
373,404,505,1
373,19,404,1
530,408,209,1
19,505,404,1
19,404,505,1
19,404,373,1
19,373,404,1
434,82,51,1
434,51,82,1
220,82,51,1
220,51,82,1
82,434,51,1
82,220,51,1
505,404,19,1
505,404,373,1
40,65,197,1
40,65,218,1
530,209,408,1
408,530,209,1
408,209,530,1
209,530,408,1
209,408,530,1
218,197,40,1
218,65,40,1
218,40,197,1
218,40,65,1
197,218,40,1
197,65,40,1
197,40,218,1
197,40,65,1
65,218,40,1
65,197,40,1
65,40,218,1
65,40,197,1
40,218,197,1
40,218,65,1
40,197,218,1
40,197,65,1
446,511,197,1
455,197,446,1
295,535,50,1
128,514,103,1
3,111,82,1
3,82,111,1
497,356,343,1
497,343,356,1
356,497,343,1
356,343,497,1
343,497,356,1
343,356,497,1
514,128,103,1
514,103,128,1
128,103,514,1
82,111,3,1
103,514,128,1
103,128,514,1
348,268,59,1
348,59,268,1
268,348,59,1
268,59,348,1
59,348,268,1
59,268,348,1
258,97,21,1
258,21,97,1
82,3,111,1
111,3,82,1
455,394,197,1
12,1,65,1
20,65,426,1
20,12,1,1
20,1,426,1
20,1,12,1
12,426,65,1
12,426,1,1
12,65,426,1
12,65,1,1
12,20,1,1
12,1,426,1
12,1,20,1
111,82,3,1
1,426,65,1
1,426,20,1
1,426,12,1
1,65,426,1
1,65,12,1
1,20,426,1
1,20,12,1
1,12,426,1
1,12,65,1
1,12,20,1
97,258,21,1
97,21,258,1
21,258,97,1
207,529,536,1
295,529,536,1
295,529,207,1
295,207,536,1
295,207,529,1
295,207,103,1
295,103,536,1
295,103,207,1
207,536,529,1
207,536,295,1
207,536,103,1
207,529,295,1
21,97,258,1
207,529,103,1
207,295,536,1
207,295,529,1
207,295,103,1
207,103,536,1
207,103,529,1
207,103,295,1
103,536,529,1
103,536,295,1
103,536,207,1
295,536,103,1
295,536,207,1
295,536,529,1
529,103,207,1
536,529,295,1
536,529,207,1
536,529,103,1
536,295,529,1
536,295,207,1
536,295,103,1
536,207,529,1
536,207,295,1
536,207,103,1
536,103,529,1
536,103,295,1
536,103,207,1
529,536,295,1
529,536,207,1
529,536,103,1
529,295,536,1
529,295,207,1
529,207,536,1
529,207,295,1
529,207,103,1
529,103,536,1
20,426,1,1
20,426,65,1
65,1,12,1
394,208,81,1
157,77,377,1
98,377,157,1
98,377,77,1
98,157,377,1
98,77,377,1
77,377,157,1
77,377,98,1
77,157,377,1
77,98,377,1
394,208,102,1
394,102,208,1
102,394,208,1
394,102,81,1
394,102,63,1
394,81,208,1
394,81,102,1
394,81,63,1
394,63,102,1
394,63,81,1
208,394,102,1
208,394,81,1
208,102,394,1
157,98,377,1
157,377,77,1
157,377,98,1
377,77,98,1
295,505,535,1
295,505,50,1
295,50,535,1
295,50,505,1
50,535,505,1
50,535,295,1
50,505,535,1
50,505,295,1
50,295,535,1
50,295,505,1
260,227,26,1
260,26,227,1
227,260,26,1
227,26,260,1
26,260,227,1
26,227,260,1
377,157,98,1
377,157,77,1
377,98,157,1
377,98,77,1
377,77,157,1
208,81,394,1
102,394,81,1
65,1,426,1
426,20,1,1
308,356,436,1
308,208,436,1
208,436,356,1
208,436,308,1
208,356,436,1
208,308,436,1
426,65,20,1
426,65,12,1
426,65,1,1
426,20,65,1
426,12,65,1
102,394,63,1
426,12,1,1
426,1,65,1
426,1,20,1
426,1,12,1
65,426,20,1
65,426,12,1
65,426,1,1
65,20,426,1
65,12,426,1
65,12,1,1
308,436,208,1
308,436,356,1
356,208,436,1
356,308,436,1
102,208,394,1
102,81,394,1
102,63,394,1
81,394,208,1
81,394,102,1
81,394,63,1
81,208,394,1
81,102,394,1
81,63,394,1
63,394,102,1
63,394,81,1
63,102,394,1
63,81,394,1
436,356,308,1
436,356,208,1
436,308,356,1
436,308,208,1
436,208,356,1
436,208,308,1
356,436,308,1
356,436,208,1
103,529,536,1
103,529,207,1
103,295,536,1
337,335,47,1
436,206,464,1
436,206,380,1
380,436,206,1
380,206,436,1
206,464,436,1
206,436,464,1
206,436,380,1
206,380,436,1
337,335,300,1
337,335,111,1
337,300,335,1
335,300,337,1
337,300,111,1
337,300,47,1
337,111,335,1
337,111,300,1
337,111,47,1
337,47,335,1
337,47,300,1
337,47,111,1
335,337,300,1
335,337,111,1
436,380,206,1
436,464,206,1
464,206,436,1
464,436,206,1
518,1,30,1
507,518,1,1
507,30,1,1
507,1,518,1
507,1,30,1
30,518,1,1
30,507,1,1
30,1,518,1
30,1,507,1
1,518,507,1
1,518,30,1
1,507,518,1
1,507,30,1
1,30,518,1
1,30,507,1
308,46,23,1
308,23,46,1
46,308,23,1
46,23,308,1
23,308,46,1
23,46,308,1
335,337,47,1
335,300,111,1
518,30,1,1
47,335,111,1
111,300,335,1
111,300,47,1
111,47,337,1
111,47,335,1
111,47,300,1
47,337,335,1
47,337,300,1
47,337,111,1
47,335,337,1
47,335,300,1
47,300,337,1
335,300,47,1
47,300,335,1
47,300,111,1
47,111,337,1
47,111,335,1
47,111,300,1
511,446,197,1
511,394,197,1
511,197,446,1
511,197,394,1
455,446,197,1
111,300,337,1
111,335,47,1
111,335,300,1
111,335,337,1
335,111,337,1
335,111,300,1
335,111,47,1
335,47,337,1
335,47,300,1
335,47,111,1
300,337,335,1
300,337,111,1
300,337,47,1
300,335,337,1
300,335,111,1
300,335,47,1
300,111,337,1
300,111,335,1
300,111,47,1
300,47,337,1
300,47,335,1
300,47,111,1
111,337,335,1
111,337,300,1
111,337,47,1
518,1,507,1
518,507,1,1
103,295,207,1
436,45,44,1
536,44,374,1
536,44,45,1
436,536,374,1
436,536,45,1
436,536,44,1
436,374,536,1
436,374,45,1
436,374,44,1
436,45,536,1
436,45,374,1
436,44,536,1
374,44,536,1
436,44,374,1
436,44,45,1
374,536,436,1
374,536,45,1
374,536,44,1
374,436,536,1
374,436,45,1
374,436,44,1
374,45,536,1
374,45,436,1
536,44,436,1
536,45,44,1
536,45,374,1
536,45,436,1
103,207,536,1
103,207,529,1
103,207,295,1
506,331,18,1
506,18,331,1
331,506,18,1
331,18,506,1
18,506,331,1
18,331,506,1
513,500,351,1
513,351,500,1
500,513,351,1
500,351,513,1
351,513,500,1
351,500,513,1
536,436,374,1
536,436,45,1
536,436,44,1
536,374,436,1
536,374,45,1
536,374,44,1
374,45,44,1
374,44,436,1
14,349,352,1
63,218,234,1
240,63,234,1
234,240,63,1
234,218,63,1
234,63,240,1
234,63,218,1
218,234,63,1
218,63,234,1
63,240,234,1
63,234,240,1
63,234,218,1
520,211,102,1
374,44,45,1
520,102,211,1
211,520,102,1
211,102,520,1
102,520,211,1
102,211,520,1
352,349,14,1
352,14,349,1
349,352,14,1
349,14,352,1
14,352,349,1
240,234,63,1
44,45,374,1
44,45,436,1
44,45,536,1
45,536,436,1
45,536,374,1
45,536,44,1
45,436,536,1
45,436,374,1
45,436,44,1
45,374,536,1
45,374,436,1
45,374,44,1
45,44,536,1
45,44,436,1
45,44,374,1
44,536,436,1
44,536,374,1
44,536,45,1
44,436,536,1
44,436,374,1
44,436,45,1
44,374,536,1
44,374,436,1
44,374,45,1
12,55,128,1
435,104,182,1
530,41,197,1
42,253,252,1
253,252,486,1
253,252,274,1
253,252,42,1
253,42,252,1
252,486,253,1
252,274,253,1
252,253,486,1
252,253,274,1
252,253,42,1
252,42,253,1
42,252,253,1
253,486,252,1
500,206,12,1
500,12,206,1
206,500,12,1
206,12,500,1
12,500,206,1
12,206,500,1
521,201,107,1
521,201,65,1
521,107,201,1
521,107,65,1
253,274,252,1
274,252,253,1
406,457,373,1
63,454,535,1
454,535,63,1
454,276,63,1
454,63,535,1
454,63,276,1
276,454,63,1
276,63,454,1
276,63,27,1
276,27,63,1
63,535,454,1
63,535,27,1
63,454,276,1
274,253,252,1
63,276,454,1
63,276,27,1
63,27,535,1
63,27,276,1
27,535,63,1
27,276,63,1
27,63,535,1
27,63,276,1
486,253,252,1
486,252,253,1
521,65,201,1
521,65,107,1
201,521,107,1
228,28,240,1
240,266,63,1
240,266,28,1
240,228,266,1
240,228,28,1
240,63,266,1
240,28,266,1
240,28,228,1
228,266,240,1
228,240,266,1
228,240,28,1
63,266,240,1
201,521,65,1
63,266,28,1
63,240,266,1
63,28,266,1
28,266,240,1
28,266,63,1
28,240,266,1
28,240,228,1
28,228,240,1
28,63,266,1
457,406,373,1
240,266,228,1
266,28,63,1
266,28,240,1
266,63,28,1
201,107,521,1
201,107,65,1
201,65,521,1
201,65,107,1
107,521,201,1
107,521,65,1
107,201,521,1
107,201,65,1
107,65,521,1
107,65,201,1
65,521,201,1
65,521,107,1
65,201,521,1
65,201,107,1
65,107,521,1
65,107,201,1
266,240,228,1
266,240,63,1
266,240,28,1
266,228,240,1
266,63,240,1
535,27,63,1
535,63,27,1
535,63,454,1
128,66,1,1
45,65,331,1
441,128,66,1
441,128,1,1
441,66,128,1
441,66,1,1
441,1,128,1
441,1,66,1
128,441,66,1
128,441,1,1
128,66,441,1
128,1,441,1
1,66,441,1
128,1,66,1
66,441,128,1
66,441,1,1
66,128,441,1
66,128,1,1
66,1,441,1
66,1,128,1
1,441,128,1
1,441,66,1
1,128,441,1
45,331,65,1
65,45,331,1
65,331,45,1
331,45,65,1
124,22,398,1
124,22,234,1
22,398,234,1
22,398,124,1
22,234,398,1
22,234,124,1
22,124,398,1
22,124,234,1
455,362,259,1
455,259,362,1
362,455,259,1
362,259,455,1
259,455,362,1
259,362,455,1
455,406,18,1
455,18,406,1
406,455,18,1
406,18,455,1
18,455,406,1
18,406,455,1
331,65,45,1
1,128,66,1
1,66,128,1
535,454,63,1
526,225,527,1
161,207,62,1
161,62,207,1
62,207,161,1
62,161,207,1
527,526,225,1
527,525,225,1
527,225,526,1
527,225,525,1
526,527,225,1
526,525,225,1
526,225,525,1
230,222,154,1
525,527,225,1
525,526,225,1
525,225,527,1
525,225,526,1
225,527,526,1
225,527,525,1
225,526,527,1
225,526,525,1
225,525,527,1
225,525,526,1
207,62,161,1
207,161,62,1
68,484,500,1
68,500,484,1
230,154,222,1
222,230,154,1
222,154,230,1
222,154,75,1
222,75,154,1
154,230,222,1
154,222,230,1
154,222,75,1
154,75,222,1
75,222,154,1
75,154,222,1
526,374,339,1
526,339,374,1
374,526,339,1
374,339,526,1
339,526,374,1
339,374,526,1
500,484,68,1
500,68,484,1
484,500,68,1
484,68,500,1
457,373,406,1
406,373,457,1
447,394,221,1
45,96,97,1
97,45,96,1
96,342,97,1
96,342,45,1
96,97,342,1
96,97,45,1
96,45,342,1
96,45,97,1
45,342,96,1
45,97,96,1
45,96,342,1
331,276,123,1
97,96,342,1
331,276,96,1
331,123,276,1
331,123,96,1
331,96,276,1
331,96,123,1
276,331,123,1
